languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,ambrosm/tpsjan22-03-linear-model,TPSJAN22-03 Linear Model,AmbrosM,,2022-01-11T19:55:18.483Z,,False,,False,False,False,False,False,False,False,[],[],[],[],210,tabular-playground-series-jan-2022
,,,,,0,teckmengwong/tps2201-hybrid-time-series,TPS2201_Hybrid_Time_Series,Teck Meng Wong,,2022-02-01T13:39:37.713Z,,False,,False,False,False,False,False,False,False,[],[],[],[],120,tabular-playground-series-jan-2022
,,,,,0,ambrosm/tpsjan22-01-eda-which-makes-sense,TPSJAN22-01 EDA which makes sense ⭐️⭐️⭐️⭐️⭐️,AmbrosM,,2022-01-06T10:43:21.753Z,,False,,False,False,False,False,False,False,False,[],[],[],[],118,tabular-playground-series-jan-2022
,,,,,0,lordozvlad/tps-jan-fast-pycaret-with-scikit-learn-intelex,[TPS-Jan] Fast PyCaret with Scikit-learn-Intelex,Devlikamov Vlad,,2022-01-10T18:12:18.477Z,,False,,False,False,False,False,False,False,False,[],[],[],[],110,tabular-playground-series-jan-2022
,,,,,0,usharengaraju/tensorflow-tf-data-keraspreprocessinglayers-w-b,[TensorFlow]tf.data+KerasPreprocessingLayers[W&B],Tensor Girl,,2022-01-19T19:09:55.48Z,,False,,False,False,False,False,False,False,False,[],[],[],[],106,tabular-playground-series-jan-2022
,,,,,0,mfedeli/tabular-playground-series-jan-2022, Tabular Playground Series - Jan 2022,Matteo Fedeli,,2022-01-06T15:03:23.057Z,,False,,False,False,False,False,False,False,False,[],[],[],[],92,tabular-playground-series-jan-2022
,,,,,0,carlmcbrideellis/tps-jan-2022-a-simple-average-model-no-ml,TPS Jan 2022:  A simple average model (no ML),Carl McBride Ellis,,2022-02-05T06:30:30.227Z,,False,,False,False,False,False,False,False,False,[],[],[],[],90,tabular-playground-series-jan-2022
,,,,,0,rohan1506/pandas-tips-tricks-tutorial,Pandas Tips & Tricks - Tutorial,Rohan,,2022-03-14T18:23:37.767Z,,False,,False,False,False,False,False,False,False,[],[],[],[],89,tabular-playground-series-jan-2022
,,,,,0,hasanbasriakcay/playground-jan-22-eda-feature-engineering,"📊Playground-Jan 22, EDA + Feature Engineering🔥",Hasan Basri Akçay,,2022-01-04T11:27:49.737Z,,False,,False,False,False,False,False,False,False,[],[],[],[],88,tabular-playground-series-jan-2022
,,,,,0,lucamassaron/kaggle-merchandise-eda-with-baseline-linear-model,Kaggle merchandise EDA with baseline linear model,Luca Massaron,,2022-01-21T13:44:32.577Z,,False,,False,False,False,False,False,False,False,[],[],[],[],85,tabular-playground-series-jan-2022
,,,,,0,ambrosm/tpsjan22-10-advanced-linear-model-with-cci,TPSJAN22-10 Advanced Linear Model with CCI,AmbrosM,,2022-01-31T18:05:10.97Z,,False,,False,False,False,False,False,False,False,[],[],[],[],83,tabular-playground-series-jan-2022
,,,,,0,samuelcortinhas/tps-jan-22-quick-eda-hybrid-model,TPS Jan 22 - quick EDA + Hybrid model,Samuel Cortinhas,,2022-01-27T17:32:14.95Z,,False,,False,False,False,False,False,False,False,[],[],[],[],74,tabular-playground-series-jan-2022
,,,,,0,ambrosm/tpsjan22-06-lightgbm-quickstart,TPSJAN22-06 LightGBM Quickstart,AmbrosM,,2022-01-11T11:37:45.803Z,,False,,False,False,False,False,False,False,False,[],[],[],[],74,tabular-playground-series-jan-2022
,,,,,0,subinium/tps-jan-happy-new-year,[TPS-Jan] Happy New Year 🌅,Subin An,,2022-01-02T01:09:58.397Z,,False,,False,False,False,False,False,False,False,[],[],[],[],67,tabular-playground-series-jan-2022
,,,,,0,adamwurdits/tps-01-2022-catboost-seed-averaging,TPS 01 2022 Catboost & seed averaging,Adam Wurdits,,2022-01-10T23:34:47.917Z,,False,,False,False,False,False,False,False,False,[],[],[],[],65,tabular-playground-series-jan-2022
,,,,,0,maxencefzr/tps-jan22-eda-fe-simple-catboost,TPS-Jan22 🎉 | EDA + FE + Simple CatBoost,Maxence Fuzellier,,2022-01-19T10:22:17.64Z,,False,,False,False,False,False,False,False,False,[],[],[],[],65,tabular-playground-series-jan-2022
,,,,,0,ambrosm/tpsjan22-05-keras-quickstart,TPSJAN22-05 Keras Quickstart,AmbrosM,,2022-01-23T21:22:51.94Z,,False,,False,False,False,False,False,False,False,[],[],[],[],61,tabular-playground-series-jan-2022
,,,,,0,aestheteaman01/tabular-playground-2022-the-storytelling,Tabular Playground 2022 - The Storytelling,Aman Kumar,,2022-01-12T20:18:13.127Z,,False,,False,False,False,False,False,False,False,[],[],[],[],57,tabular-playground-series-jan-2022
,,,,,0,toomuchsauce/happy-new-year-tps-understanding-the-data-pt1,🎉Happy New Year[TPS : Understanding the Data PT1],Kunal,,2022-01-17T06:38:49.833Z,,False,,False,False,False,False,False,False,False,[],[],[],[],55,tabular-playground-series-jan-2022
,,,,,0,hasanbasriakcay/tps-jan-22-tsa-fe-modeling,"🚀 TPS-Jan 22, TSA + FE + Modeling 🎯",Hasan Basri Akçay,,2022-01-24T06:33:47.227Z,,False,,False,False,False,False,False,False,False,[],[],[],[],54,tabular-playground-series-jan-2022
,,,,,0,samuelcortinhas/tps-jan-22-eda-modelling,TPS Jan 22 - EDA + modelling,Samuel Cortinhas,,2022-01-19T19:41:15.21Z,,False,,False,False,False,False,False,False,False,[],[],[],[],50,tabular-playground-series-jan-2022
,,,,,0,kartushovdanil/tps-jan-22-eda-atboost-prophet,TPS Jan 22 [EDA+СatBoost+Prophet],Torch me,,2022-01-15T18:47:32.843Z,,False,,False,False,False,False,False,False,False,[],[],[],[],49,tabular-playground-series-jan-2022
,,,,,0,lucamassaron/festivities-in-finland-norway-sweden,"Festivities in Finland, Norway, Sweden",Luca Massaron,,2022-01-23T23:40:47.407Z,,False,,False,False,False,False,False,False,False,[],[],[],[],49,tabular-playground-series-jan-2022
,,,,,0,nishantdhingra/detailed-eda-and-vizualizations-tps-january-2022,Detailed EDA and Vizualizations [TPS January 2022],Nishant Dhingra,,2022-01-18T13:56:00.3Z,,False,,False,False,False,False,False,False,False,[],[],[],[],48,tabular-playground-series-jan-2022
,,,,,0,ninjaac/tps-jan-complete-eda,TPS-Jan - Complete EDA ,Pavithra Devi M,,2022-02-17T06:26:01.507Z,,False,,False,False,False,False,False,False,False,[],[],[],[],47,tabular-playground-series-jan-2022
,,,,,0,satoshiss/tps-jan-with-xgboost,TPS-Jan with XGBoost,Satoshi_S,,2022-01-21T21:48:30.3Z,,False,,False,False,False,False,False,False,False,[],[],[],[],47,tabular-playground-series-jan-2022
,,,,,0,cv13j0/tps-jan22-quick-eda-xgboost,"🎁 TPS-JAN22, Quick EDA + XGBoost",C4rl05/V,,2022-01-02T20:26:39.16Z,,False,,False,False,False,False,False,False,False,[],[],[],[],46,tabular-playground-series-jan-2022
,,,,,0,bernhardklinger/tps-jan-2022-catboost-with-pycaret,TPS Jan 2022 CatBoost with PyCaret,Bernhard Klinger,,2022-01-30T00:58:10Z,,False,,False,False,False,False,False,False,False,[],[],[],[],40,tabular-playground-series-jan-2022
,,,,,0,sfktrkl/tps-jan-2022-time-series,TPS - Jan 2022 - Time Series,Şafak Türkeli,,2022-01-21T00:00:32.733Z,,False,,False,False,False,False,False,False,False,[],[],[],[],40,tabular-playground-series-jan-2022
,,,,,0,vad13irt/tps-jan-2022-exploratory-data-analysis,TPS-Jan 2022: Exploratory Data Analysis,Vadim Irtlach,,2022-01-01T13:21:02.633Z,,False,,False,False,False,False,False,False,False,[],[],[],[],39,tabular-playground-series-jan-2022
,,,,,0,pourchot/my-homework-at-ambrosm-school-cat-lgb-xgb,My homework at AmbrosM School : CAT+LGB+XGB ,Laurent Pourchot,,2022-01-09T09:39:49.713Z,,False,,False,False,False,False,False,False,False,[],[],[],[],38,tabular-playground-series-jan-2022
,,,,,0,mhslearner/tps-jan-2022-time-series-forcasting,TPS jan 2022 : Time series forcasting 📈 ,ANIBAH,,2022-02-01T16:07:29.817Z,,False,,False,False,False,False,False,False,False,[],[],[],[],37,tabular-playground-series-jan-2022
,,,,,0,junhyeok99/catboost-baseline,Catboost Baseline,Jun Hyeok,,2022-01-01T23:56:53.167Z,,False,,False,False,False,False,False,False,False,[],[],[],[],37,tabular-playground-series-jan-2022
,,,,,0,chikovalexander/tps-jan-2022-etna,TPS Jan 2022 | ETNA 🌋,Chikov Alexander,,2022-01-30T16:57:01.83Z,,False,,False,False,False,False,False,False,False,[],[],[],[],35,tabular-playground-series-jan-2022
,,,,,0,p7476762/8-models-add-xgboost-compare-score-mse,"8 Models(add XGboost) Compare & Score,MSE",Chia Hao,,2022-01-18T15:08:13.563Z,,False,,False,False,False,False,False,False,False,[],[],[],[],35,tabular-playground-series-jan-2022
,,,,,0,gunesevitan/tabular-playground-series-jan-2022-prophet,Tabular Playground Series - Jan 2022 - Prophet,Gunes Evitan,,2022-01-04T10:01:20.623Z,,False,,False,False,False,False,False,False,False,[],[],[],[],35,tabular-playground-series-jan-2022
,,,,,0,akmalmir/pycaret-for-starters-tps-jan-2022,Pycaret for Starters  - TPS Jan 2022,Akmal Azzam o'g'li,,2022-01-01T16:28:14.127Z,,False,,False,False,False,False,False,False,False,[],[],[],[],35,tabular-playground-series-jan-2022
,,,,,0,maxencefzr/tps-jan22-catboost-using-pycaret,TPS-Jan22 | CatBoost using PyCaret,Maxence Fuzellier,,2022-01-29T15:53:35.223Z,,False,,False,False,False,False,False,False,False,[],[],[],[],34,tabular-playground-series-jan-2022
,,,,,0,hiro5299834/tps-jan-2022-blend-stacking-models,TPS Jan 2022 Blend + Stacking models,BIZEN,,2022-01-23T08:27:55.367Z,,False,,False,False,False,False,False,False,False,[],[],[],[],34,tabular-playground-series-jan-2022
,,,,,0,kartushovdanil/overfit-me-catboost-lgbm,Overfit me [catboost + lgbm],Torch me,,2022-01-23T11:48:41.793Z,,False,,False,False,False,False,False,False,False,[],[],[],[],34,tabular-playground-series-jan-2022
,,,,,0,marcobr95/time-series-forecasting,Time Series Forecasting,Marco_Br95,,2022-01-28T09:50:37.85Z,,False,,False,False,False,False,False,False,False,[],[],[],[],33,tabular-playground-series-jan-2022
,,,,,0,sugamkhetrapal/tps-jan-2022-1-01-eda-dataprep,TPS Jan 2022 1.01 EDA dataprep,Sugam Khetrapal,,2022-01-03T12:05:23.46Z,,False,,False,False,False,False,False,False,False,[],[],[],[],30,tabular-playground-series-jan-2022
,,,,,0,sarabhian/free-time-learning,Free_time_learning,Abhijeet Deshmukh,,2022-01-26T10:49:23.693Z,,False,,False,False,False,False,False,False,False,[],[],[],[],29,tabular-playground-series-jan-2022
,,,,,0,carlmcbrideellis/gdp-of-finland-norway-and-sweden-2015-2019,"GDP of Finland, Norway, and Sweden (2015-2019)",Carl McBride Ellis,,2022-01-09T19:39:00.943Z,,False,,False,False,False,False,False,False,False,[],[],[],[],29,tabular-playground-series-jan-2022
,,,,,0,fergusfindley/tpsjan22-eda-baseline-train-submission,"🏆TPSJan22:EDA,baseline,train&submission📊",Fergus Findley,,2022-01-06T16:12:55.957Z,,False,,False,False,False,False,False,False,False,[],[],[],[],29,tabular-playground-series-jan-2022
,,,,,0,ambrosm/scaling-is-better-than-blending,Scaling is better than blending!,AmbrosM,,2022-01-10T20:13:14.237Z,,False,,False,False,False,False,False,False,False,[],[],[],[],28,tabular-playground-series-jan-2022
,,,,,0,rumasinha/understandingforecastingwithtimeseriesdata,understandingForecastingwithTimeSeriesdata,Ruma,,2022-01-22T21:45:06.987Z,,False,,False,False,False,False,False,False,False,[],[],[],[],27,tabular-playground-series-jan-2022
,,,,,0,jeongbinpark/tps-jan-simple-eda-and-fbprophet,[TPS-Jan] Simple EDA and fbprophet,JeongBin Park,,2022-01-01T09:25:34.887Z,,False,,False,False,False,False,False,False,False,[],[],[],[],27,tabular-playground-series-jan-2022
,,,,,0,pourchot/tuning-regression-with-optuna-for-cat-lgb-xgb," Tuning Regression with Optuna for CAT, LGB, XGB",Laurent Pourchot,,2022-01-17T13:22:18.233Z,,False,,False,False,False,False,False,False,False,[],[],[],[],26,tabular-playground-series-jan-2022
,,,,,0,teckmengwong/tell-me-the-magic-number,Tell me the magic number!,Teck Meng Wong,,2022-01-29T00:05:53.097Z,,False,,False,False,False,False,False,False,False,[],[],[],[],26,tabular-playground-series-jan-2022
,,,,,0,kavehshahhosseini/mix-tf-neural-networks-tf-decision-forests,Mix TF Neural Networks & TF Decision Forests,Kaveh Shahhosseini,,2022-01-29T19:15:17.12Z,,False,,False,False,False,False,False,False,False,[],[],[],[],25,tabular-playground-series-jan-2022
,,,,,0,mpwolke/denmark-gone-galearn-genetic-algorithm,Denmark gone? Galearn Genetic algorithm,Marília Prata,,2022-01-02T21:41:19.083Z,,False,,False,False,False,False,False,False,False,[],[],[],[],25,tabular-playground-series-jan-2022
,,,,,0,devsubhash/tps-jan-2022-eda-pycaret-blend,TPS Jan 2022 | EDA | PyCaret | Blend,Devashree Madhugiri,,2022-04-26T09:57:21.487Z,,False,,False,False,False,False,False,False,False,[],[],[],[],25,tabular-playground-series-jan-2022
,,,,,0,anirudhg15/tps-jan-22-extensive-time-series-tutorial,[TPS-Jan '22] Extensive time series tutorial 📈,Anirudh Gokulaprasad,,2022-01-02T12:45:50.3Z,,False,,False,False,False,False,False,False,False,[],[],[],[],25,tabular-playground-series-jan-2022
,,,,,0,adamwurdits/tps-01-2022-weather-eda-feature-engineering,TPS 01 2022 Weather EDA & Feature engineering,Adam Wurdits,,2022-01-31T21:31:16.637Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,tabular-playground-series-jan-2022
,,,,,0,anshulmehtakaggl/tps-jan-2022-eda,TPS-JAN-2022-EDA,Anshul Mehta,,2022-01-08T09:17:26.87Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,tabular-playground-series-jan-2022
,,,,,0,vad13irt/blend-of-blend-of-blend-of-blend-of-blend-of-blend,Blend of blend of blend of blend of blend of blend,Vadim Irtlach,,2022-01-06T15:42:37.09Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,tabular-playground-series-jan-2022
,,,,,0,vad13irt/tps-2022-losses-correlation,TPS-2022: Losses Correlation,Vadim Irtlach,,2022-01-02T20:10:36.08Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,tabular-playground-series-jan-2022
,,,,,0,sytuannguyen/tps-jan-2022-automated-ensembling,TPS Jan 2022: Automated Ensembling,Sy-Tuan Nguyen,,2022-01-26T08:58:50.417Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,tabular-playground-series-jan-2022
,,,,,0,sardorabdirayimov/adding-extra-datasets-to-main,Adding Extra datasets to Main,Sardor Abdirayimov,,2022-01-13T07:01:50.943Z,,False,,False,False,False,False,False,False,False,[],[],[],[],23,tabular-playground-series-jan-2022
,,,,,0,minhajulhoque/eda-xgboost-hyperparameter-tuning,EDA + XGBoost + Hyperparameter Tuning,Minhajul Hoque,,2022-02-10T05:51:30.267Z,,False,,False,False,False,False,False,False,False,[],[],[],[],22,tabular-playground-series-jan-2022
,,,,,0,aestheteaman01/tabular-playground-2022-storytelling-notebook-2,Tabular Playground 2022 - Storytelling Notebook 2,Aman Kumar,,2022-01-28T17:25:15.73Z,,False,,False,False,False,False,False,False,False,[],[],[],[],22,tabular-playground-series-jan-2022
,,,,,0,edwardakalarrywelch/hybrid-time-series-1,Hybrid_Time_Series 1,Ed Welch,,2022-01-31T20:46:21.167Z,,False,,False,False,False,False,False,False,False,[],[],[],[],22,tabular-playground-series-jan-2022
,,,,,0,toomuchsauce/tps-jan-part-2-lstm-pytorch,TPS-Jan Part 2 : LSTM PyTorch 🔥,Kunal,,2022-01-17T06:36:46.61Z,,False,,False,False,False,False,False,False,False,[],[],[],[],22,tabular-playground-series-jan-2022
,,,,,0,sardorabdirayimov/prophet-model-with-holidays-tps-jan-2022,Prophet Model With Holidays| TPS JAN 2022 ,Sardor Abdirayimov,,2022-01-07T10:17:21.793Z,,False,,False,False,False,False,False,False,False,[],[],[],[],22,tabular-playground-series-jan-2022
,,,,,0,carlmcbrideellis/google-trends-data-for-kaggle-fi-no-se,"Google Trends data for ""Kaggle"" (FI,NO,SE)",Carl McBride Ellis,,2022-01-24T06:17:33.76Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,tabular-playground-series-jan-2022
,,,,,0,ammarabbasi1040/tps-simple-eda-fe-modelling,TPS_Simple_EDA_FE_Modelling,Ammar Abbasi1040,,2022-02-13T10:07:46.107Z,,False,,False,False,False,False,False,False,False,[],[],[],[],20,tabular-playground-series-jan-2022
,,,,,0,bernhardklinger/tps-jan-2022,TPS Jan 2022,Bernhard Klinger,,2022-01-03T01:09:13.27Z,,False,,False,False,False,False,False,False,False,[],[],[],[],20,tabular-playground-series-jan-2022
,,,,,0,meetnagadia/tps-22-eda-prediction,TPS-22 EDA + Prediction,Meet Nagadia,,2022-01-05T03:42:36.62Z,,False,,False,False,False,False,False,False,False,[],[],[],[],20,tabular-playground-series-jan-2022
,,,,,0,sardorabdirayimov/tps-jan-2022-visualization,TPS - Jan 2022 Visualization,Sardor Abdirayimov,,2022-01-02T17:00:11.627Z,,False,,False,False,False,False,False,False,False,[],[],[],[],19,tabular-playground-series-jan-2022
,,,,,0,vad13irt/tps-2022-baseline,TPS-2022: Baseline,Vadim Irtlach,,2022-01-01T16:21:51.043Z,,False,,False,False,False,False,False,False,False,[],[],[],[],19,tabular-playground-series-jan-2022
,,,,,0,ranjeetshrivastav/tps-jan-22-base-xgb-lgb,[TPS JAN 22] Base XGB & LGB,Ranjeet shrivastav,,2022-01-19T08:41:16.457Z,,False,,False,False,False,False,False,False,False,[],[],[],[],19,tabular-playground-series-jan-2022
,,,,,0,ambrosm/tpsjan22-09-the-overfitting-movie,TPSJAN22-09 The Overfitting Movie,AmbrosM,,2022-01-29T13:28:29.867Z,,False,,False,False,False,False,False,False,False,[],[],[],[],18,tabular-playground-series-jan-2022
,,,,,0,sathyakrishnan12/kaggle-tps-jan-12,Kaggle TPS Jan 12,Sathya Krishnan12,,2022-01-13T10:28:39.287Z,,False,,False,False,False,False,False,False,False,[],[],[],[],18,tabular-playground-series-jan-2022
,,,,,0,fergusfindley/ensembling-and-rounding-techniques-comparison,🌪 Ensembling and rounding techniques comparison,Fergus Findley,,2022-01-16T21:53:59.303Z,,False,,False,False,False,False,False,False,False,[],[],[],[],18,tabular-playground-series-jan-2022
,,,,,0,isha20/tps-jan-2022-catboost-eda,TPS Jan 2022- CatBoost + EDA,Isha Sharma,,2022-01-11T05:45:54.5Z,,False,,False,False,False,False,False,False,False,[],[],[],[],18,tabular-playground-series-jan-2022
,,,,,0,saraswatitiwari/tps-jan-2022,TPS - Jan 2022,Saraswati Tiwari,,2022-01-06T04:04:36.25Z,,False,,False,False,False,False,False,False,False,[],[],[],[],18,tabular-playground-series-jan-2022
,,,,,0,craigmthomas/tps-jan-2022-eda,TPS Jan 2022 - EDA,Craig Thomas,,2022-01-04T02:30:32.943Z,,False,,False,False,False,False,False,False,False,[],[],[],[],18,tabular-playground-series-jan-2022
,,,,,0,mehrankazeminia/delete-feb29th-2016-fork-keras-quickstart,Delete Feb29th(2016) - FORK[Keras Quickstart],Mehran Kazeminia,,2022-01-16T09:53:48.38Z,,False,,False,False,False,False,False,False,False,[],[],[],[],17,tabular-playground-series-jan-2022
,,,,,0,sasakic/tps-jan-22-simple-lstm,TPS Jan 22 simple LSTM,Chika Sasaki,,2022-01-12T02:30:55.737Z,,False,,False,False,False,False,False,False,False,[],[],[],[],17,tabular-playground-series-jan-2022
,,,,,0,sardorabdirayimov/public-holiday-affect-on-tps-jan-2022,Public Holiday Affect on TPS JAN 2022 ,Sardor Abdirayimov,,2022-01-05T12:15:23.737Z,,False,,False,False,False,False,False,False,False,[],[],[],[],17,tabular-playground-series-jan-2022
,,,,,0,rnepal2/tps-time-series-prediction-with-neuralprophet,TPS: Time Series Prediction with NeuralProphet,Rabindra,,2022-01-06T02:03:45.13Z,,False,,False,False,False,False,False,False,False,[],[],[],[],17,tabular-playground-series-jan-2022
,,,,,0,ankitkalauni/overfitting-ninja-technique-copied,Overfitting Ninja Technique [COPIED],Ankit Kalauni,,2022-01-05T06:24:39.067Z,,False,,False,False,False,False,False,False,False,[],[],[],[],17,tabular-playground-series-jan-2022
,,,,,0,prashantpathak244/lgm-boost,LGM boost,Prashant Pathak,,2022-01-27T06:38:28.213Z,,False,,False,False,False,False,False,False,False,[],[],[],[],16,tabular-playground-series-jan-2022
,,,,,0,isha20/tps-jan-22-eda,TPS Jan'22- EDA ,Isha Sharma,,2022-01-19T03:17:04.927Z,,False,,False,False,False,False,False,False,False,[],[],[],[],16,tabular-playground-series-jan-2022
,,,,,0,pourchot/tps-2022-01-baseline-and-eda,TPS 2022_01 Baseline and EDA,Laurent Pourchot,,2022-01-02T11:13:11.55Z,,False,,False,False,False,False,False,False,False,[],[],[],[],16,tabular-playground-series-jan-2022
,,,,,0,kushtrivedi14728/tabular-play-ground-jan-2022,Tabular Play Ground - Jan 2022,Kush Trivedi,,2022-02-01T00:08:10.65Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,tabular-playground-series-jan-2022
,,,,,0,slythe/tps-jan-22-ridge-multisplit,[TPS Jan 22] - Ridge MultiSplit,Andrew Schleiss,,2022-01-16T06:28:50.42Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,tabular-playground-series-jan-2022
,,,,,0,fergusfindley/tpsjan22-1-10-feature-engineering,TPSJan22 1/10: feature engineering 🛠,Fergus Findley,,2022-01-31T11:05:36.817Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,tabular-playground-series-jan-2022
,,,,,0,akmeghdad/tps-0122-all-in-one-preprocessing-feature-eng,[TPS 0122][All-in-one] PreProcessing & Feature eng,Meghdad,,2022-01-24T10:01:44.63Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,tabular-playground-series-jan-2022
,,,,,0,satyabrataroy/kagglemart-vs-kagglerama-top-10-insights-eda,KaggleMart Vs KaggleRama - Top 10 INSIGHTS - EDA,Satyabrata Roy,,2022-01-13T15:08:15.477Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,tabular-playground-series-jan-2022
,,,,,0,andrej0marinchenko/tps-01-2022,tps_01_2022,Andrej Marinchenko,,2022-01-14T19:01:41.297Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,tabular-playground-series-jan-2022
,,,,,0,lisyuan0930/tps-jan-2022-xgboost-gdp,TPS Jan 2022 XGBoost + GDP,Li-Syuan Hong,,2022-01-27T02:35:53.963Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,tabular-playground-series-jan-2022
,,,,,0,sabinaabdurakhmanova/tps-more-is-better,TPS: more is better,0|1,,2022-01-13T16:31:47.337Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,tabular-playground-series-jan-2022
,,,,,0,isha20/tps-jan-22-automl-using-pycaret,TPS Jan 22- AutoML using Pycaret,Isha Sharma,,2022-01-11T16:28:56.857Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,tabular-playground-series-jan-2022
,,,,,0,gvyshnya/jan22-tpc-feature-importance-with-featurewiz,Jan22 TPC - Feature Importance with FeatureWiz,Georgii Vyshnia,,2022-01-04T20:15:38.137Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,tabular-playground-series-jan-2022
,,,,,0,arhitbosetagore/visualization-forecasting-sarimax-fb-prophet,Visualization | Forecasting: SARIMAX FB Prophet📈,Arhit Bose Tagore,,2022-01-10T06:04:14.327Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,tabular-playground-series-jan-2022
,,,,,0,ebrahimhaquebhatti/eureka-eureka-visualizations,Eureka Eureka Visualizations,Ebrahim Haque Bhatti,,2022-01-01T13:21:39.493Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,tabular-playground-series-jan-2022
,,,,,0,inversion/visualization-and-random-forest-model,Visualization and Random Forest Model,inversion,,2021-12-30T22:08:02.997Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,tabular-playground-series-jan-2022
,,,,,0,phuc16102001/tps-2022-xgboost,[TPS 2022] XGBoost,Phúc Đỗ Vương,,2022-01-19T07:05:24.337Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,tabular-playground-series-jan-2022
,,,,,0,andrej0marinchenko/notebook2b2e607e95,notebook2b2e607e95,Andrej Marinchenko,,2022-01-11T07:13:02.807Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,tabular-playground-series-jan-2022
,,,,,0,masatomurakawamm/tps-jan2022-xgboost-and-optuna-baseline,TPS-Jan2022_XGBoost_and_Optuna_baseline,Masato Murakawa,,2022-01-16T11:31:30.793Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,tabular-playground-series-jan-2022
,,,,,0,bcruise/tps-jan-2022-seasonality,TPS - Jan 2022 - Seasonality,Bill Cruise,,2022-01-09T01:58:54.433Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,tabular-playground-series-jan-2022
,,,,,0,siukeitin/tps012022-detrending-case-study-i,TPS012022 Detrending Case Study I,broccoli beef,,2022-01-04T04:14:21.54Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,tabular-playground-series-jan-2022
,,,,,0,cv13j0/google-search-data,🔥Google Search Data,C4rl05/V,,2022-01-24T21:11:54.35Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,tabular-playground-series-jan-2022
,,,,,0,hassanmojab/tps-jan-2022-catboost,TPS-Jan-2022 CatBoost,M.Hassan Mojab,,2022-01-12T21:03:29.093Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,tabular-playground-series-jan-2022
,,,,,0,sumeetbohra/eda-dataviz-fe-lightgbm,EDA + DataViz + FE + LightGBM,Sumeet Bohra,,2022-01-07T09:09:03.5Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,tabular-playground-series-jan-2022
,,,,,0,anjalisrajan/tps-jan-2022-simple-model-using-xgboost,TPS Jan 2022 simple model using XGBoost,Anjali S Rajan,,2022-01-13T10:21:54.747Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,tabular-playground-series-jan-2022
,,,,,0,mohamedayoubchettouh/tabularjan2022,TabularJan2022,Mohamed Ayoub Chettouh,,2022-01-10T19:58:52.8Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,tabular-playground-series-jan-2022
,,,,,0,kratos2597/tabular-playground-series-jan-2022,Tabular Playground Series - Jan 2022,Aditya Mishra,,2022-01-19T08:02:31.75Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,tabular-playground-series-jan-2022
,,,,,0,tylerjthomas9/julia-stacking-baseline-tps-jan2022,Julia - Stacking Baseline (TPS Jan2022),Tyler Thomas,,2022-01-02T03:00:31.55Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,tabular-playground-series-jan-2022
,,,,,0,lonnieqin/tps-01-22-with-catboost,TPS-01-22 with Catboost,Lonnie,,2022-01-10T10:54:25.477Z,,False,,False,False,False,False,False,False,False,[],[],[],[],12,tabular-playground-series-jan-2022
,,,,,0,abdulravoofshaik/ensemble-to-winning-solution-private-score,Ensemble to winning solution-private score 📢📢,ARShaik,,2022-02-06T08:34:10.62Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,tabular-playground-series-jan-2022
,,,,,0,abdulravoofshaik/tps-jan-2022-random-forest-based-ensemble,TPS Jan 2022- Random Forest based ensemble,ARShaik,,2022-01-29T20:13:14.83Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,tabular-playground-series-jan-2022
